10062;7,9;899
10073;6,8;614
10157;7;639
10148;6,9;48
10197;5,6;332
10210;7;706
10269;7;743
10249;6,9;628
10283;7,1;840
10309;8,1;34504
10325;8;1273
10420;6,3;658
10728;6,8;1696
10749;7,1;991
10808;5,8;282
10823;6,8;773
11002;6,2;153
8952;7,1;1658
11073;7;3166
11132;6,6;491
11159;6,8;165
11195;7,2;4437
11239;7;646
11295;6,6;211
11360;7;176
11372;6,8;67
11364;6,9;773
11389;5,5;13
11403;7,3;1469
11441;7,8;2190
11510;7;628
11523;8,3;3942
11543;7,6;1295
11567;6,2;1020
11654;8;2093
11658;6,3;465
11725;6,8;213
11835;8;3584
11843;8,1;1079
11867;6,3;1138
11872;7;798
11906;8;1058
11911;6,6;69
11910;7;599
11962;6,7;288
11981;7,2;1981
11986;6,6;653
12029;8,3;35
12138;7,9;2475
12192;7,8;2018
12226;7,1;1159
12255;7;1458
12257;7;129
12283;7,7;1502
12280;7,5;2150
12306;8,4;56858
12351;8,1;5731
12366;6,7;202
12410;6,1;202
12488;7,2;204
12467;7,7;999
12501;7,7;2923
12496;6,8;489
12514;7;1747
12545;7,9;3565
12534;7,8;2490
12572;6,2;731
12653;6,9;89
12647;7,3;2326
12677;7;501
12754;8,1;1455
12765;6,3;9
12883;7;1491
12947;7,3;960
12954;7,8;1924
12940;7,8;3738
13027;6,9;1471
13057;6,6;224
13061;7,9;4765
13088;7,2;793
13077;7,3;1499
13101;7,1;99
13136;7,3;1777
13142;6,6;1165
13160;7,1;1203
13203;7,7;7134
13259;5,6;155
13369;7,4;296
13374;6,9;192
13388;7,8;6918
13429;6,7;1109
13424;8;63322
13444;8,1;259
13474;7;961
13498;6,6;28
13503;6,6;466
13573;7,7;1460
13558;5,8;384
13599;6,8;488
13581;6,8;1053
13628;7,3;239
13676;7,4;314
13664;5,4;60
13692;6,9;427
13690;6,7;327
13743;6,6;353
13825;7,2;284
13804;6,8;1857
13860;5,9;380
13994;7,9;797
14031;7,1;706
14111;7,4;3289
14144;7;1338
14220;7,9;6646
14343;7,4;2559
14360;6,5;949
14408;7,6;1006
14419;8,3;11803
14431;7,2;373
14442;6,7;135
14448;7,3;508
14499;7,2;2628
14540;7,1;1191
14534;6,7;58
14526;6,8;1083
14588;7;229
14607;7,5;1080
14613;7,1;3179
14626;6,6;1482
14648;6,5;264
14674;6,9;252
14704;6,6;167
14772;7,1;124
14762;7,5;2303
14874;6,7;406
14902;8;2205
14947;7,8;1825
14974;7,2;351
15016;7,3;847
15004;7,3;1276
15018;6,1;102
15038;8,1;8262
15066;7,4;676
15121;7,4;513
15041;7,3;1031
15138;6,5;48
15154;8,1;6094
15165;7,9;2520
